후보번호,업무대분류,업무중분류,상위요구사항후보,세부기능수,기존ID범위,INTAKE판정
1,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 최초근무계획 자동 설정하는 기능,3,REQ_TM_FL001 ~ REQ_TM_FL003,보완 필요
2,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 고과제 예외사항 요청하는 기능,4,REQ_TM_FL004 ~ REQ_TM_FL007,보완 필요
3,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 연봉제 예외사항 요청하는 기능,6,REQ_TM_FL008 ~ REQ_TM_FL013,보완 필요
4,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 고과제/연봉제 예외사항 요청하는 기능,8,REQ_TM_FL014 ~ REQ_TM_FL021,보완 필요
5,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 근무계획 확정/안내하는 기능,4,REQ_TM_FL022 ~ REQ_TM_FL025,보완 필요
6,근태관리,근무계획 수립(탄력근로제),탄력근로제 개선 운영이력 조회하는 기능,1,REQ_TM_FL026,보완 필요
7,근태관리,근태/휴가 (ESS),탄력근로제 개선 확정 조회하는 기능,1,REQ_TM_FL027,보완 필요
8,근태관리,근태 Report,탄력근로제 개선 검증 Report 조회하는 기능,8,REQ_TM_FL028 ~ REQ_TM_FL035,보완 필요
9,근태관리,Interface,탄력근로제 개선 데이터 HR Analytics 송신하는 기능,1,REQ_TM_FL036,보완 필요
10,근태관리,근태기록,탄력근로제 개선 휴가내역 근태 집계하는 기능,1,REQ_TM_FL037,보완 필요
11,근태관리,근태기록,탄력근로제 개선 근무내역 근태 집계하는 기능,1,REQ_TM_FL038,보완 필요
12,근태관리,근태기록,탄력근로제 개선 출장/교육내역 집계하는 기능,1,REQ_TM_FL039,보완 필요
13,근태관리,근태/휴가 (ESS),10분단위 근무계획 개선 근무계획 반영을 구현,9,REQ_TM_TE001 ~ REQ_TM_TE009,보완 필요
14,근태관리,선택적근무제,10분단위 근무계획 개선 선택적근무관리 반영을 구현,1,REQ_TM_TE010,보완 필요
15,근태관리,선택적근무제,10분단위 근무계획 개선 선택적근무관리 반영하는 기능,1,REQ_TM_TE011,보완 필요
16,근태관리,근태기록,10분단위 근무계획 개선 근태기록 반영을 구현,4,REQ_TM_TE012 ~ REQ_TM_TE015,보완 필요
17,근태관리,근태마감,10분단위 근무계획 개선 근태마감 반영을 구현,39,REQ_TM_TE016 ~ REQ_TM_TE054,보완 필요
18,근태관리,근태현황/통계,10분단위 근무계획 개선 근태현황/통계 반영을 구현,22,REQ_TM_TE055 ~ REQ_TM_TE076,보완 필요
19,근태관리,Batch,10분단위 근무계획 개선 근무집계 반영을 구현,23,REQ_TM_TE077 ~ REQ_TM_TE099,보완 필요
20,근태관리,Interface,10분단위 근무계획 개선 Yellow Page 송신 반영을 구현,1,REQ_TM_TE100,보완 필요
21,근태관리,근태/휴가 (ESS),10분단위 근무계획 개선 입출문시간 정보에 반영을 구현,2,REQ_TM_TE101 ~ REQ_TM_TE102,보완 필요
22,근태관리,메인화면,10분단위 근무계획 개선 주간스케쥴 반영을 구현,1,REQ_TM_TE103,보완 필요
