artifact_id,artifact_name,audience,default_required,brownfield_recommended,greenfield_recommended,customer_review,developer_input,project_choice,notes
ART-001,Business Source Catalog,PM/BA,Y,Y,Y,N,N,USE,
ART-002,6W Business Definition,Customer/BA/Dev,Y,Y,Y,Y,Y,USE,
ART-003,Requirement Analysis,BA/Dev,Y,Y,Y,OPTIONAL,Y,USE,
ART-004,Customer Functional Specification,Customer/PM,Y,Y,Y,Y,N,USE,
ART-005,Process Analysis,Customer/BA,Y,Y,Y,Y,Y,USE,
ART-006,Impact Analysis,Architect/Dev,Y,Y,OPTIONAL,N,Y,USE,
ART-007,Functional Design,BA/Dev,Y,Y,Y,OPTIONAL,Y,USE,
ART-008,Development Blueprint,Dev/Agent,Y,Y,Y,N,Y,USE,
ART-009,PGM Spec,Dev/Agent,Y,Y,OPTIONAL,N,Y,USE,
ART-010,Data/Query Spec,DBA/Dev,OPTIONAL,Y,Y,OPTIONAL,Y,DECIDE,
ART-011,Interface Spec,Customer/Dev,OPTIONAL,Y,Y,Y,Y,DECIDE,
ART-012,Test Scenario,QA/Customer/Dev,Y,Y,Y,Y,Y,USE,
ART-013,Implementation Result,Dev/PM,Y,Y,Y,N,N,USE,
ART-014,Verification Result,Customer/QA/PM,Y,Y,Y,Y,N,USE,
ART-015,PM Worklist,PM,Y,Y,Y,N,N,USE,
